Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,MA5,MA10,Volatility,Price_Change
2026-05-12 00:00:00+07:00,4270.0,4270.0,4190.0,4240.0,221247900,0.0,0.0,-0.0023529411764705577,4229.6169921875,4150.390209960938,0.013266350236868786,-30.0
2026-05-13 00:00:00+07:00,4230.0,4250.0,4190.0,4200.0,192288300,0.0,0.0,-0.009433962264150941,4241.05439453125,4163.457592773438,0.014919980837860104,-30.0
2026-05-14 00:00:00+07:00,4200.0,4200.0,4200.0,4200.0,0,0.0,0.0,0.0,4228.60859375,4176.524975585938,0.0037657600130079033,0.0
2026-05-15 00:00:00+07:00,4200.0,4200.0,4200.0,4200.0,0,0.0,0.0,0.0,4218.0,4193.266674804688,0.003993305903552518,0.0
2026-05-18 00:00:00+07:00,4170.0,4170.0,4080.0,4130.0,316067300,0.0,0.0,-0.01666666666666672,4194.0,4200.25263671875,0.007252458610517213,-40.0
2026-05-19 00:00:00+07:00,4130.0,4260.0,4100.0,4130.0,306901800,0.0,0.0,0.0,4172.0,4200.80849609375,0.007591588365789407,0.0
2026-05-20 00:00:00+07:00,4150.0,4290.0,4110.0,4230.0,308468000,0.0,0.0,0.02421307506053272,4178.0,4209.527197265625,0.014600180869901653,80.0
2026-05-21 00:00:00+07:00,4280.0,4280.0,4130.0,4170.0,137461700,0.0,0.0,-0.014184397163120588,4172.0,4200.304296875,0.016251425518748842,-110.0
2026-05-22 00:00:00+07:00,4140.0,4150.0,4040.0,4120.0,190022900,0.0,0.0,-0.011990407673860948,4156.0,4187.0,0.016879087282217913,-20.0
2026-05-25 00:00:00+07:00,4160.0,4300.0,4130.0,4220.0,235113500,0.0,0.0,0.024271844660194164,4174.0,4184.0,0.018846844569694758,60.0
2026-05-26 00:00:00+07:00,4210.0,4220.0,4130.0,4130.0,181583300,0.0,0.0,-0.021327014218009532,4174.0,4173.0,0.022220546146716896,-80.0
