Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-04-28 00:00:00+07:00,4060.140334015237,4115.255361173815,3995.8394689968964,4069.326171875,246361500,0.0,0.0
2026-04-29 00:00:00+07:00,4078.512009734763,4161.18455047263,4069.326171875,4069.326171875,201458600,0.0,0.0
2026-04-30 00:00:00+07:00,4069.3263609588553,4087.6980375320327,4014.211331239322,4032.5830078125,186960200,0.0,0.0
2026-05-04 00:00:00+07:00,4069.3262188251206,4106.0695706881015,4050.95454289363,4060.140380859375,166294600,0.0,0.0
2026-05-05 00:00:00+07:00,4060.140538001114,4197.9281128201565,4050.9546996798445,4124.44140625,186702000,0.0,0.0
2026-05-06 00:00:00+07:00,4161.184664504227,4179.556340727204,4115.255473946785,4142.81298828125,156255400,0.0,0.0
2026-05-07 00:00:00+07:00,4197.928135312837,4262.22900390625,4179.556458571861,4262.22900390625,262269600,0.0,0.0
2026-05-08 00:00:00+07:00,4271.414644640929,4326.529672313714,4243.857130804536,4253.04296875,369212800,0.0,0.0
2026-05-11 00:00:00+07:00,4310.0,4340.0,4250.0,4250.0,424518900,376.95694,0.0
2026-05-12 00:00:00+07:00,4270.0,4270.0,4190.0,4240.0,221247900,0.0,0.0
2026-05-13 00:00:00+07:00,4230.0,4250.0,4190.0,4200.0,192288300,0.0,0.0
2026-05-14 00:00:00+07:00,4200.0,4200.0,4200.0,4200.0,0,0.0,0.0
2026-05-15 00:00:00+07:00,4200.0,4200.0,4200.0,4200.0,0,0.0,0.0
2026-05-18 00:00:00+07:00,4170.0,4170.0,4080.0,4130.0,316067300,0.0,0.0
2026-05-19 00:00:00+07:00,4130.0,4260.0,4100.0,4130.0,306901800,0.0,0.0
2026-05-20 00:00:00+07:00,4150.0,4290.0,4110.0,4230.0,308468000,0.0,0.0
2026-05-21 00:00:00+07:00,4280.0,4280.0,4130.0,4170.0,137461700,0.0,0.0
2026-05-22 00:00:00+07:00,4140.0,4150.0,4040.0,4120.0,190022900,0.0,0.0
2026-05-25 00:00:00+07:00,4160.0,4300.0,4130.0,4220.0,235113500,0.0,0.0
2026-05-26 00:00:00+07:00,4210.0,4220.0,4130.0,4130.0,181583300,0.0,0.0
